id,Latitude,Longitude,ReplacementCost,PlanArea,YearBuilt,NumberOfStories,OccupancyClass,StructureType,Footprint
65,37.88142795,-122.2597179,653733.3333,3268.666667,1926,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.259789,37.881465],[-122.259783,37.881358],[-122.259717,37.881361],[-122.259722,37.881436],[-122.259592,37.881440],[-122.259594,37.881472],[-122.259789,37.881465]]]},""properties"":{}}"
66,37.87410986,-122.2793877,714400,3572,1912,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.279310,37.874040],[-122.279330,37.874191],[-122.279466,37.874179],[-122.279445,37.874029],[-122.279310,37.874040]]]},""properties"":{}}"
67,37.87473272,-122.2868846,267100,1335.5,1938,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.286982,37.874732],[-122.286968,37.874670],[-122.286795,37.874694],[-122.286819,37.874801],[-122.286945,37.874784],[-122.286935,37.874739],[-122.286982,37.874732]]]},""properties"":{}}"
68,37.8659395,-122.282117,318400,1592,1910,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.282164,37.866016],[-122.282164,37.865863],[-122.282070,37.865863],[-122.282070,37.866016],[-122.282164,37.866016]]]},""properties"":{}}"
69,37.8664265,-122.2754045,261366.6667,1306.833333,1921,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.275361,37.866482],[-122.275460,37.866475],[-122.275448,37.866371],[-122.275349,37.866378],[-122.275361,37.866482]]]},""properties"":{}}"
70,37.86708173,-122.2733035,1947300,9736.5,1927,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.273411,37.867147],[-122.273404,37.867013],[-122.273192,37.867021],[-122.273199,37.867145],[-122.273296,37.867142],[-122.273296,37.867151],[-122.273411,37.867147]]]},""properties"":{}}"
71,37.86738003,-122.2728868,479266.6667,2396.333333,1906,2,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.272785,37.867433],[-122.273002,37.867412],[-122.272988,37.867327],[-122.272772,37.867348],[-122.272785,37.867433]]]},""properties"":{}}"
72,37.86932553,-122.2765033,830300,4151.5,1929,3,RES3,S1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276643,37.869362],[-122.276628,37.869265],[-122.276364,37.869289],[-122.276378,37.869386],[-122.276643,37.869362]]]},""properties"":{}}"
73,37.86958588,-122.2765697,893700,4468.5,1944,2,RES3,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276741,37.869497],[-122.276377,37.869535],[-122.276402,37.869683],[-122.276549,37.869667],[-122.276542,37.869628],[-122.276630,37.869619],[-122.276636,37.869656],[-122.276766,37.869643],[-122.276741,37.869497]]]},""properties"":{}}"
74,37.871762,-122.276927,278400,1392,1920,1,RES1,W1,"{""type"":""Feature"",""geometry"":{""type"":""Polygon"",""coordinates"":[[[-122.276963,37.871663],[-122.276868,37.871670],[-122.276891,37.871861],[-122.276986,37.871854],[-122.276963,37.871663]]]},""properties"":{}}"
